personid,RelativeID,KindredID,MaID,PaID,sex,deceased,suicide,bdate,ddate,gen,Age
39705,39705,553615,54293,0,F,N,N,2009.0,,9,7.0
39706,39706,553615,54293,0,F,N,N,2002.0,,9,14.0
48730,48730,553615,35529,0,M,N,N,2010.0,,8,6.0
54158,54158,553615,0,0,F,Y,N,1942.0,2007.0,6,65.0
5076,5076,553615,60268,34057,F,N,N,1943.0,,7,73.0
2326,2326,553615,36574,0,F,N,N,2010.0,,9,6.0
13363,13363,553615,32385,0,M,N,N,2003.0,,9,13.0
25291,25291,553615,37002,0,M,N,N,2009.0,,9,7.0
33042,33042,553615,51523,0,F,N,N,2009.0,,9,7.0
34395,34395,553615,65728,0,F,N,N,2009.0,,10,7.0
8980,8980,553615,5290,0,M,N,N,2003.0,,9,13.0
47583,47583,553615,48456,0,F,N,N,2003.0,,9,13.0
52569,52569,553615,42898,0,F,N,N,2012.0,,9,4.0
66134,66134,553615,20179,0,M,N,N,2010.0,,10,6.0
2484,2484,553615,63583,63582,M,Y,Y,1937.0,2017.0,6,80.0
4433,4433,553615,67845,0,F,N,N,2008.0,,10,8.0
22482,22482,553615,62879,0,F,N,N,2004.0,,9,12.0
40958,40958,553615,37979,26669,M,N,N,2003.0,,9,13.0
41985,41985,553615,67584,0,M,N,N,2006.0,,10,10.0
27866,27866,553615,9207,0,M,N,N,2005.0,,9,11.0
47665,47665,553615,16228,0,M,N,N,2007.0,,9,9.0
19924,19924,553615,50784,0,M,N,N,2002.0,,8,14.0
21261,21261,553615,27712,45520,M,N,N,2011.0,,8,5.0
30822,30822,553615,8982,0,M,N,N,2003.0,,10,13.0
31226,31226,553615,52819,0,M,N,N,1993.0,,9,23.0
55069,55069,553615,48847,0,M,N,N,2008.0,,10,8.0
23409,23409,553615,32528,0,F,N,N,2009.0,,9,7.0
64040,64040,553615,62422,0,F,N,N,2010.0,,9,6.0
67523,67523,553615,10291,0,M,N,N,2008.0,,10,8.0
51499,51499,553615,1951,1950,M,Y,N,1905.0,1906.0,5,1.0
11771,11771,553615,57347,0,M,N,N,2011.0,,10,5.0
24455,24455,553615,5680,0,M,N,N,2011.0,,8,5.0
24742,24742,553615,19217,0,M,N,N,2010.0,,9,6.0
28246,28246,553615,62290,0,M,N,N,2002.0,,9,14.0
36508,36508,553615,48551,0,M,N,N,2010.0,,10,6.0
38090,38090,553615,31753,0,M,N,N,2010.0,,10,6.0
40106,40106,553615,49721,0,M,N,N,2012.0,,10,4.0
4,4,553615,1901,0,F,N,N,2011.0,,9,5.0
44999,44999,553615,11602,11603,F,N,N,1958.0,,7,58.0
7488,7488,553615,13220,0,M,N,N,2013.0,,9,3.0
27037,27037,553615,55344,0,F,N,N,2004.0,,9,12.0
31394,31394,553615,18869,0,M,N,N,2010.0,,9,6.0
45746,45746,553615,20876,0,F,N,N,2010.0,,10,6.0
52761,52761,553615,13655,0,F,N,N,2012.0,,9,4.0
55266,55266,553615,15491,0,M,N,N,2013.0,,10,3.0
61529,61529,553615,66452,0,F,N,N,2012.0,,9,4.0
65155,65155,553615,7251,0,M,N,N,2012.0,,9,4.0
812,812,553615,17463,0,M,N,N,2003.0,,11,13.0
3983,3983,553615,65367,0,M,N,N,2004.0,,9,12.0
18025,18025,553615,60269,0,F,N,N,2006.0,,10,10.0
24524,24524,553615,67760,0,F,N,N,2007.0,,10,9.0
48877,48877,553615,50216,0,M,N,N,1970.0,,7,46.0
38045,38045,553615,25141,0,F,N,N,2005.0,,8,11.0
6305,6305,553615,37979,26669,F,N,N,2008.0,,9,8.0
26462,26462,553615,28137,65446,F,N,N,2009.0,,10,7.0
32758,32758,553615,36453,0,F,Y,Y,1991.0,2013.0,7,22.0
56967,56967,553615,36699,0,M,N,N,1996.0,,11,20.0
65446,65446,553615,0,0,M,N,N,1994.0,,9,22.0
56921,56921,553615,67131,67130,M,Y,Y,1945.0,2008.0,6,63.0
23920,23920,553615,43640,0,M,N,N,1923.0,,6,93.0
56579,56579,553615,12017,12015,F,N,N,1923.0,,6,93.0
58013,58013,553615,2882,2881,F,N,N,1922.0,,6,94.0
34154,34154,553615,37762,37761,F,N,N,1925.0,,7,91.0
34159,34159,553615,37762,37761,M,N,N,1922.0,,7,94.0
